Timestamp (s), Voltage (V), Velocity, Accel
1.349316,11.808500,67.322142,114.304231
1.359395,11.783000,65.869487,72.632719
1.369322,11.771667,65.869487,72.632719
1.379396,11.753333,70.591851,-236.118200
1.389318,11.790000,70.591851,-236.118200
1.399394,11.798333,69.137877,72.698716
1.409323,11.805667,69.137877,72.698716
1.419398,11.811667,66.956208,109.083429
1.429315,11.815833,66.956208,109.083429
1.439395,11.809500,67.416862,-23.032675
1.449319,11.821833,67.416862,-23.032675
1.459400,11.811500,70.029566,-130.635205
1.469316,11.801167,70.029566,-130.635205
1.479394,11.793000,66.097340,196.611301
1.489322,11.768667,66.097340,196.611301
1.499398,11.738667,69.115596,-150.912796
1.509320,11.741833,69.115596,-150.912796
1.519393,11.756167,65.207002,195.429669
1.529321,11.732333,65.207002,195.429669
1.539400,11.744000,68.363209,-157.810334
1.549316,11.723333,68.363209,-157.810334
1.559399,11.746833,69.573124,-60.495724
1.569320,11.726333,69.573124,-60.495724
1.579397,11.718333,66.432454,157.033489
1.589319,11.708000,66.432454,157.033489
1.599391,11.704833,64.448560,99.194692
1.609322,11.707000,64.448560,99.194692
1.619396,11.683333,67.392723,-147.208152
1.629316,11.677167,67.392723,-147.208152
1.639397,11.661500,68.111385,-35.933123
1.649320,11.691667,68.111385,-35.933123
1.659401,11.722333,66.283454,91.396570
1.669318,11.755333,66.283454,91.396570
1.679396,11.804500,69.806918,-176.173189
1.689322,11.837333,69.806918,-176.173189
1.699396,11.891667,66.673294,156.681168
1.709319,11.926500,66.673294,156.681168
1.719395,11.938000,68.371826,-84.926577
1.729321,11.957167,68.371826,-84.926577
1.739400,11.951333,68.380831,-0.450257
1.749318,11.907000,68.380831,-0.450257
1.759397,11.835167,66.755663,81.258421
1.769321,11.764333,66.755663,81.258421
1.779398,11.737667,65.700793,52.743502
1.789321,11.701833,65.700793,52.743502
1.799397,11.718167,68.071843,-118.552534
1.809322,11.749000,68.071843,-118.552534
1.819398,11.785000,67.717157,17.734295
1.829318,11.814667,67.717157,17.734295
1.839399,11.837500,66.887909,41.462408
1.849320,11.881500,66.887909,41.462408
1.859399,11.871167,65.158049,86.492991
1.869317,11.864833,65.158049,86.492991
1.879393,11.815833,79.411149,-712.654983
1.889323,11.814833,79.411149,-712.654983
1.899398,11.812500,65.637699,688.672486
1.909319,11.815667,65.637699,688.672486
1.919396,11.804333,63.886901,87.539936
1.929323,11.772667,63.886901,87.539936
1.939403,11.768500,66.070435,-109.176716
1.949319,11.733667,66.070435,-109.176716
1.959410,11.717333,66.219468,-7.451670
1.969323,11.704000,66.219468,-7.451670
1.979401,11.664000,64.633396,79.303604
1.989319,11.678167,64.633396,79.303604
